,food_id,orig_food_common_name,orig_food_scientific_name,scientific_name,other
0,4,Kiwi,Actinidia chinensis PLANCHON [Actinidiaceae],Actinidia chinensis,PLANCHON [Actinidiaceae]
1,6,Onion,Allium cepa L. [Liliaceae],Allium cepa,L. [Liliaceae]
3,9,Chives,Allium schoenoprasum L. [Liliaceae],Allium schoenoprasum,L. [Liliaceae]
4,11,Cashew,Anacardium occidentale L. [Anacardiaceae],Anacardium occidentale,L. [Anacardiaceae]
7,12,Pineapple,Ananas comosus (L.) MERR. [Bromeliaceae],Ananas comosus,(L.) MERR. [Bromeliaceae]
8,13,Dill,Anethum graveolens L. [Apiaceae],Anethum graveolens,L. [Apiaceae]
10,14,Custard Apple,Annona reticulata L. [Annonaceae],Annona reticulata,L. [Annonaceae]
12,15,Celery,Apium graveolens L. [Apiaceae],Apium graveolens,L. [Apiaceae]
15,16,Groundnut,Arachis hypogaea L. [Fabaceae],Arachis hypogaea,L. [Fabaceae]
18,17,Burdock,Arctium lappa L. [Asteraceae],Arctium lappa,L. [Asteraceae]
21,18,Horseradish,Armoracia rusticana GAERTN. ET AL. [Brassicaceae],Armoracia rusticana,GAERTN. ET AL. [Brassicaceae]
22,19,Tarragon,Artemisia dracunculus L. [Asteraceae],Artemisia dracunculus,L. [Asteraceae]
24,20,Mugwort,Artemisia vulgaris L. [Asteraceae],Artemisia vulgaris,L. [Asteraceae]
25,21,Asparagus,Asparagus officinalis L. [Liliaceae],Asparagus officinalis,L. [Liliaceae]
27,22,Oats,Avena sativa L. [Poaceae],Avena sativa,L. [Poaceae]
29,23,Carambola,Averrhoa carambola L. [Oxalidaceae],Averrhoa carambola,L. [Oxalidaceae]
30,24,Brazilnut,Bertholletia excelsa BONPL. [Lecythidaceae],Bertholletia excelsa,BONPL. [Lecythidaceae]
31,26,Beebread,Borago officinalis L. [Boraginaceae],Borago officinalis,L. [Boraginaceae]
33,27,Mustard Greens,Brassica juncea (L.) CZERNJ. & COSSON [Brassicaceae],Brassica juncea,(L.) CZERNJ. & COSSON [Brassicaceae]
35,32,Brussel-Sprout,Brassica oleracea var. gemmifera var. gemmifera DC [Brassicaceae],Brassica oleracea,var. gemmifera var. gemmifera DC [Brassicaceae]
36,33,Kohlrabi,Brassica oleracea var. gongylodes L. [Brassicaceae],Brassica oleracea,var. gongylodes L. [Brassicaceae]
37,34,Asparagus Broccoli,"Brassica oleracea var. italica L., PLENCK [Brassicaceae]",Brassica oleracea,"var. italica L., PLENCK [Brassicaceae]"
38,37,Pigeonpea,Cajanus cajan (L.) HUTH [Fabaceae],Cajanus cajan,(L.) HUTH [Fabaceae]
42,38,Tea,Camellia sinensis (L.) KUNTZE [Theaceae],Camellia sinensis,(L.) KUNTZE [Theaceae]
43,39,Caper,Capparis spinosa L. [Capparaceae],Capparis spinosa,L. [Capparaceae]
47,40,Bell Pepper,Capsicum annuum L. [Solanaceae],Capsicum annuum,L. [Solanaceae]
49,41,Papaya,Carica papaya L. [Caricaceae],Carica papaya,L. [Caricaceae]
53,42,Safflower,Carthamus tinctorius L. [Asteraceae],Carthamus tinctorius,L. [Asteraceae]
56,43,Caraway,Carum carvi L. [Apiaceae],Carum carvi,L. [Apiaceae]
57,46,Garden Camomile,Chamaemelum nobile (L.) ALL. [Asteraceae],Chamaemelum nobile,(L.) ALL. [Asteraceae]
58,47,Chickpea,Cicer arietinum L. [Fabaceae],Cicer arietinum,L. [Fabaceae]
59,48,Endive,Cichorium endivia L. [Asteraceae],Cichorium endivia,L. [Asteraceae]
60,49,Chicory,Cichorium intybus L. [Asteraceae],Cichorium intybus,L. [Asteraceae]
62,50,Canela de la China (Sp.),Cinnamomum aromaticum NEES [Lauraceae],Cinnamomum aromaticum,NEES [Lauraceae]
63,51,Ceylon Cinnamon,Cinnamomum verum J. PRESL [Lauraceae],Cinnamomum verum,J. PRESL [Lauraceae]
65,52,Watermelon,Citrullus lanatus (THUNB.) MATSUM. & NAKAI [Cucurbitaceae],Citrullus lanatus,(THUNB.) MATSUM. & NAKAI [Cucurbitaceae]
67,53,Lime,Citrus aurantiifolia (CHRISTM.) SWINGLE [Rutaceae],Citrus aurantiifolia,(CHRISTM.) SWINGLE [Rutaceae]
68,54,Lemon,Citrus limon (L.) BURMAN f. [Rutaceae],Citrus limon,(L.) BURMAN f. [Rutaceae]
70,56,Mandarin,Citrus reticulata BLANCO [Rutaceae],Citrus reticulata,BLANCO [Rutaceae]
71,57,Orange,Citrus sinensis (L.) OSBECK [Rutaceae],Citrus sinensis,(L.) OSBECK [Rutaceae]
72,59,Coffee,Coffea arabica L. [Rubiaceae],Coffea arabica,L. [Rubiaceae]
74,61,Chinese Parsley,Coriandrum sativum L. [Apiaceae],Coriandrum sativum,L. [Apiaceae]
76,62,Cobnut,Corylus avellana L. [Betulaceae],Corylus avellana,L. [Betulaceae]
77,63,Saffron,Crocus sativus L. [Iridaceae],Crocus sativus,L. [Iridaceae]
78,64,Cantaloupe,Cucumis melo subsp. ssp melo var.cantalupensis NAUDIN [Cucurbitaceae],Cucumis melo,subsp. ssp melo var.cantalupensis NAUDIN [Cucurbitaceae]
80,65,Cucumber,Cucumis sativus L. [Cucurbitaceae],Cucumis sativus,L. [Cucurbitaceae]
82,66,Summer Squash,Cucurbita spp [Cucurbitaceae],Cucurbita spp,[Cucurbitaceae]
83,67,Cumin,Cuminum cyminum L. [Apiaceae],Cuminum cyminum,L. [Apiaceae]
84,68,Indian Saffron,Curcuma longa L. [Zingiberaceae],Curcuma longa,L. [Zingiberaceae]
86,69,Quince,Cydonia oblonga MILLER [Rosaceae],Cydonia oblonga,MILLER [Rosaceae]
88,70,Lemongrass,Cymbopogon citratus (DC. ex NEES) STAPF [Poaceae],Cymbopogon citratus,(DC. ex NEES) STAPF [Poaceae]
89,72,Carrot,Daucus carota L. [Apiaceae],Daucus carota,L. [Apiaceae]
91,74,Cardamom,Elettaria cardamomum (L.) MATON [Zingiberaceae],Elettaria cardamomum,(L.) MATON [Zingiberaceae]
93,76,Loquat,Eriobotrya japonica (THUNB.) LINDL. [Rosaceae],Eriobotrya japonica,(THUNB.) LINDL. [Rosaceae]
95,77,Achnef (Berber; BOU),Eruca sativa MILL. [Brassicaceae],Eruca sativa,MILL. [Brassicaceae]
96,79,Buckwheat,Fagopyrum esculentum MOENCH. [Polygonaceae],Fagopyrum esculentum,MOENCH. [Polygonaceae]
97,81,Echte Feige (Ger.),Ficus carica L. [Moraceae],Ficus carica,L. [Moraceae]
101,82,Fennel,Foeniculum vulgare MILLER [Apiaceae],Foeniculum vulgare,MILLER [Apiaceae]
103,85,Soybean,Glycine max (L.) MERR. [Fabaceae],Glycine max,(L.) MERR. [Fabaceae]
107,86,Girasol,Helianthus annuus L. [Asteraceae],Helianthus annuus,L. [Asteraceae]
108,87,Sallow Thorn,Hippophae rhamnoides L. [Elaeagnaceae],Hippophae rhamnoides,L. [Elaeagnaceae]
111,88,Barley,Hordeum vulgare L. [Poaceae],Hordeum vulgare,L. [Poaceae]
114,91,Swamp Cabbage,Ipomoea aquatica FORSSKAL [Convolvulaceae],Ipomoea aquatica,FORSSKAL [Convolvulaceae]
115,92,Sweet Potato,Ipomoea batatas (L.) LAM [Convolvulaceae],Ipomoea batatas,(L.) LAM [Convolvulaceae]
117,93,Black Walnut,Juglans nigra L. [Juglandaceae],Juglans nigra,L. [Juglandaceae]
119,94,English Walnut,Juglans regia L. [Juglandaceae],Juglans regia,L. [Juglandaceae]
120,95,Lettuce,Lactuca sativa L. [Asteraceae],Lactuca sativa,L. [Asteraceae]
121,97,Bay,Laurus nobilis L. [Lauraceae],Laurus nobilis,L. [Lauraceae]
122,98,Lentil,Lens culinaris MEDIK. [Fabaceae],Lens culinaris,MEDIK. [Fabaceae]
124,99,Garden Cress,Lepidium sativum L. [Brassicaceae],Lepidium sativum,L. [Brassicaceae]
126,100,Lovage,Levisticum officinale KOCH [Apiaceae],Levisticum officinale,KOCH [Apiaceae]
127,101,Flax,Linum usitatissimum L. [Linaceae],Linum usitatissimum,L. [Linaceae]
129,105,Apple,Malus domestica BORKH. [Rosaceae],Malus domestica,BORKH. [Rosaceae]
131,106,Mango,Mangifera indica L. [Anacardiaceae],Mangifera indica,L. [Anacardiaceae]
134,108,Balm,Melissa officinalis L. [Lamiaceae],Melissa officinalis,L. [Lamiaceae]
135,112,Hortela da Folha Miuda,Mentha spicata L. [Lamiaceae],Mentha spicata,L. [Lamiaceae]
136,113,Peppermint,Mentha x piperita subsp. nothosubsp. piperita [Lamiaceae],Mentha x,piperita subsp. nothosubsp. piperita [Lamiaceae]
137,115,Bitter Melon,Momordica charantia L. [Cucurbitaceae],Momordica charantia,L. [Cucurbitaceae]
139,118,Mace,Myristica fragrans HOUTT. [Myristicaceae],Myristica fragrans,HOUTT. [Myristicaceae]
141,119,Basil,Ocimum basilicum L. [Lamiaceae],Ocimum basilicum,L. [Lamiaceae]
143,120,Evening-Primrose,Oenothera biennis L. [Onagraceae],Oenothera biennis,L. [Onagraceae]
145,121,Olive,Olea europaea subsp. europaea [Oleaceae],Olea europaea,subsp. europaea [Oleaceae]
149,122,Marjoram,Origanum majorana L. [Lamiaceae],Origanum majorana,L. [Lamiaceae]
150,124,Common Turkish Oregano,Origanum vulgare L. [Lamiaceae],Origanum vulgare,L. [Lamiaceae]
151,125,Rice,Oryza sativa L. [Poaceae],Oryza sativa,L. [Poaceae]
153,128,Maracuya,Passiflora edulis SIMS [Passifloraceae],Passiflora edulis,SIMS [Passifloraceae]
155,129,Parsnip,Pastinaca sativa L. [Apiaceae],Pastinaca sativa,L. [Apiaceae]
157,130,Avocado,Persea americana MILLER [Lauraceae],Persea americana,MILLER [Lauraceae]
158,131,Parsley,Petroselinum crispum (MILLER) NYMAN EX A. W. HILLL [Apiaceae],Petroselinum crispum,(MILLER) NYMAN EX A. W. HILLL [Apiaceae]
160,132,Scarlet Runner Bean,Phaseolus coccineus L. [Fabaceae],Phaseolus coccineus,L. [Fabaceae]
162,133,Butter Bean,Phaseolus lunatus L. [Fabaceae],Phaseolus lunatus,L. [Fabaceae]
166,134,Black Bean,Phaseolus vulgaris subsp. var. vulgaris [Fabaceae],Phaseolus vulgaris,subsp. var. vulgaris [Fabaceae]
170,135,Date Palm,Phoenix dactylifera L. [Arecaceae],Phoenix dactylifera,L. [Arecaceae]
172,137,Anise,Pimpinella anisum L. [Apiaceae],Pimpinella anisum,L. [Apiaceae]
173,139,Black Pepper,Piper nigrum L. [Piperaceae],Piper nigrum,L. [Piperaceae]
174,140,Pistachio,Pistacia vera L. [Anacardiaceae],Pistacia vera,L. [Anacardiaceae]
175,141,Pea,Pisum sativum L. [Fabaceae],Pisum sativum,L. [Fabaceae]
178,142,Purslane,Portulaca oleracea L. [Portulacaceae],Portulaca oleracea,L. [Portulacaceae]
180,144,Apricot,Prunus armeniaca L. [Rosaceae],Prunus armeniaca,L. [Rosaceae]
182,146,Sour Cherry,Prunus cerasus L. [Rosaceae],Prunus cerasus,L. [Rosaceae]
183,147,Plum,Prunus domestica L. [Rosaceae],Prunus domestica,L. [Rosaceae]
185,148,Almond,Prunus dulcis (MILLER) D. A. WEBB [Rosaceae],Prunus dulcis,(MILLER) D. A. WEBB [Rosaceae]
186,149,Peach,Prunus persica (L.) BATSCH [Rosaceae],Prunus persica,(L.) BATSCH [Rosaceae]
188,150,Guava,Psidium guajava L. [Myrtaceae],Psidium guajava,L. [Myrtaceae]
191,151,Granado (Sp.),Punica granatum L. [Punicaceae],Punica granatum,L. [Punicaceae]
193,152,Pear,Pyrus communis L. [Rosaceae],Pyrus communis,L. [Rosaceae]
194,153,Radish,Raphanus sativus L. [Brassicaceae],Raphanus sativus,L. [Brassicaceae]
198,154,Rhubarb,Rheum rhabarbarum L. [Polygonaceae],Rheum rhabarbarum,L. [Polygonaceae]
200,155,Black Currant,Ribes nigrum L. [Grossulariaceae],Ribes nigrum,L. [Grossulariaceae]
202,156,Red Currant,Ribes rubrum L. [Grossulariaceae],Ribes rubrum,L. [Grossulariaceae]
204,157,Gooseberry,Ribes uva-crispa L. [Grossulariaceae],Ribes uva-crispa,L. [Grossulariaceae]
206,158,Berro,Nasturtium officinale R. BR. [Brassicaceae],Nasturtium officinale,R. BR. [Brassicaceae]
207,159,Rosemary,Rosmarinus officinalis L. [Lamiaceae],Rosmarinus officinalis,L. [Lamiaceae]
208,162,Raspberry,Rubus idaeus L. [Rosaceae],Rubus idaeus,L. [Rosaceae]
211,164,Garden Sorrel,Rumex acetosa L. [Polygonaceae],Rumex acetosa,L. [Polygonaceae]
213,165,Sage,Salvia officinalis L. [Lamiaceae],Salvia officinalis,L. [Lamiaceae]
215,166,Black Elder,Sambucus nigra L. [Adoxaceae],Sambucus nigra,L. [Adoxaceae]
218,167,Summer Savory,Satureja hortensis L. [Lamiaceae],Satureja hortensis,L. [Lamiaceae]
220,169,Rye,Secale cereale L. [Poaceae],Secale cereale,L. [Poaceae]
222,170,Ajonjoli (Sp.),Sesamum indicum L. [Pedaliaceae],Sesamum indicum,L. [Pedaliaceae]
224,173,Tomato,Lycopersicon esculentum MILLER [Solanaceae],Lycopersicon esculentum,MILLER [Solanaceae]
226,174,Aubergine,Solanum melongena L. [Solanaceae],Solanum melongena,L. [Solanaceae]
229,175,Potato,Solanum tuberosum L. [Solanaceae],Solanum tuberosum,L. [Solanaceae]
230,178,Spinach,Spinacia oleracea L. [Chenopodiaceae],Spinacia oleracea,L. [Chenopodiaceae]
231,179,Clove,Syzygium aromaticum (L.) MERR. & L. M. PERRY [Myrtaceae],Syzygium aromaticum,(L.) MERR. & L. M. PERRY [Myrtaceae]
232,180,Indian Tamarind,Tamarindus indica L. [Fabaceae],Tamarindus indica,L. [Fabaceae]
236,181,Dandelion,Taraxacum officinale WEBER EX F. H. WIGG. [Asteraceae],Taraxacum officinale,WEBER EX F. H. WIGG. [Asteraceae]
238,182,Cacao,Theobroma cacao L. [Sterculiaceae],Theobroma cacao,L. [Sterculiaceae]
240,183,Common Thyme,Thymus vulgaris L. [Lamiaceae],Thymus vulgaris,L. [Lamiaceae]
243,184,Basswood,Tilia sp. [Tiliaceae],Tilia sp.,[Tiliaceae]
245,186,Alholva (Sp.),Trigonella foenum-graecum L. [Fabaceae],Trigonella foenum-graecum,L. [Fabaceae]
246,187,Wheat,Triticum aestivum L. [Poaceae],Triticum aestivum,L. [Poaceae]
248,191,Blueberry,Vaccinium corymbosum L. [Ericaceae],Vaccinium corymbosum,L. [Ericaceae]
249,192,American Cranberry,Vaccinium macrocarpon AITON [Ericaceae],Vaccinium macrocarpon,AITON [Ericaceae]
250,193,Bilberry,Vaccinium myrtillus L. [Ericaceae],Vaccinium myrtillus,L. [Ericaceae]
252,197,Broadbean,Vicia faba L. [Fabaceae],Vicia faba,L. [Fabaceae]
254,198,Adzuki Bean,Vigna angularis (WILLD.) OHWI & H. OHASHI [Fabaceae],Vigna angularis,(WILLD.) OHWI & H. OHASHI [Fabaceae]
255,199,Black Gram,Vigna mungo (L.) HEPPER [Fabaceae],Vigna mungo,(L.) HEPPER [Fabaceae]
258,200,Green Gram,Vigna radiata (L.) WILCZEK [Fabaceae],Vigna radiata,(L.) WILCZEK [Fabaceae]
260,204,European Grape,Vitis vinifera L. [Vitaceae],Vitis vinifera,L. [Vitaceae]
262,205,Corn,Zea mays L. [Poaceae],Zea mays,L. [Poaceae]
264,206,Ginger,Zingiber officinale ROSCOE [Zingiberaceae],Zingiber officinale,ROSCOE [Zingiberaceae]
265,264,Beet,Beta vulgaris subsp. subsp. vulgaris [Chenopodiaceae],Beta vulgaris,subsp. subsp. vulgaris [Chenopodiaceae]
268,284,Pumpkin,Cucurbita maxima DUCH. [Cucurbitaceae],Cucurbita maxima,DUCH. [Cucurbitaceae]
270,288,Allspice,Pimenta dioica (L.) MERR. [Myrtaceae],Pimenta dioica,(L.) MERR. [Myrtaceae]
271,289,Pigweed,Amaranthus sp. [Amaranthaceae],Amaranthus sp.,[Amaranthaceae]
272,291,Arrowroot,Maranta arundinacea L. [Marantaceae],Maranta arundinacea,L. [Marantaceae]
273,312,Breadfruit,Artocarpus altilis (PARKINS.) FOSBERG [Moraceae],Artocarpus altilis,(PARKINS.) FOSBERG [Moraceae]
275,313,Breadnut,Brosimum alicastrum SWARTZ [Moraceae],Brosimum alicastrum,SWARTZ [Moraceae]
276,318,Butterbur,Petasites japonicus (SIEBOLD & ZUCC.) MAXIM. [Asteraceae],Petasites japonicus,(SIEBOLD & ZUCC.) MAXIM. [Asteraceae]
277,320,Butternut,Juglans cinerea L. [Juglandaceae],Juglans cinerea,L. [Juglandaceae]
278,322,Calabash Gourd,Lagenaria siceraria (MOLINA) STANDLEY. [Cucurbitaceae],Lagenaria siceraria,(MOLINA) STANDLEY. [Cucurbitaceae]
280,326,Carob,Ceratonia siliqua L. [Fabaceae],Ceratonia siliqua,L. [Fabaceae]
282,328,Cassava,Manihot esculenta CRANTZ [Euphorbiaceae],Manihot esculenta,CRANTZ [Euphorbiaceae]
283,330,Chayote,Sechium edule (JACQ.) SW. [Cucurbitaceae],Sechium edule,(JACQ.) SW. [Cucurbitaceae]
286,331,Cherimoya,Annona cherimola MILL. [Annonaceae],Annona cherimola,MILL. [Annonaceae]
288,332,Chervil,Anthriscus cerefolium (L.) HOFFM. [Apiaceae],Anthriscus cerefolium,(L.) HOFFM. [Apiaceae]
290,337,Water chestnut,Eleocharis dulcis (BURM. F) TRIN. [Cyperaceae],Eleocharis dulcis,(BURM. F) TRIN. [Cyperaceae]
291,338,Garland Chrysanthemum,Chrysanthemum coronarium L. [Asteraceae],Chrysanthemum coronarium,L. [Asteraceae]
293,341,Coconut,Cocos nucifera L. [Arecaceae],Cocos nucifera,L. [Arecaceae]
294,345,Corn Salad,Valerianella locusta (L.) LATERRADE [Valerianaceae],Valerianella locusta,(L.) LATERRADE [Valerianaceae]
295,346,Cotton,Gossypium sp [Malvaceae],Gossypium sp,[Malvaceae]
296,360,Durian,Durio zibethinus L. [Bombacaceae],Durio zibethinus,L. [Bombacaceae]
297,368,European Chestnut,Castanea sativa MILLER [Fagaceae],Castanea sativa,MILLER [Fagaceae]
299,372,Ginkgo,Ginkgo biloba L. [Ginkgoaceae],Ginkgo biloba,L. [Ginkgoaceae]
301,384,Ben Nut,Moringa oleifera LAM. [Moringaceae],Moringa oleifera,LAM. [Moringaceae]
305,386,Bonavist Bean,Lablab purpureus (L.) SWEET [Fabaceae],Lablab purpureus,(L.) SWEET [Fabaceae]
307,387,Irish Moss,Chondrus crispus (L.) STACKH. [],Chondrus crispus,(L.) STACKH. []
308,389,Jackfruit,Artocarpus heterophyllus LAM. [Moraceae],Artocarpus heterophyllus,LAM. [Moraceae]
310,391,Aceituna Dulce,Syzygium cumini SKEELS [Myrtaceae],Syzygium cumini,SKEELS [Myrtaceae]
311,392,Jerusalem Artichoke,Helianthus tuberosus L. [Asteraceae],Helianthus tuberosus,L. [Asteraceae]
312,394,Jew's Mallow,Corchorus olitorius L. [Tiliaceae],Corchorus olitorius,L. [Tiliaceae]
314,399,Lambsquarter,Chenopodium album L. [Chenopodiaceae],Chenopodium album,L. [Chenopodiaceae]
316,401,Elephant Garlic,Allium ampeloprasum L. [Liliaceae],Allium ampeloprasum,L. [Liliaceae]
319,407,Water Lotus,Nelumbo nucifera L. [Nelumbonaceae],Nelumbo nucifera,L. [Nelumbonaceae]
322,408,White Lupine,Lupinus albus L. [Fabaceae],Lupinus albus,L. [Fabaceae]
323,409,Vinespinach,Basella alba L. [Basellaceae],Basella alba,L. [Basellaceae]
324,410,Mamey,Mammea americana L. [Clusiaceae],Mammea americana,L. [Clusiaceae]
325,411,Mangosteen,Garcinia mangostana L. [Clusiaceae],Garcinia mangostana,L. [Clusiaceae]
326,416,Mat Bean,Vigna aconitifolia (JACQ.) MARECHAL [Fabaceae],Vigna aconitifolia,(JACQ.) MARECHAL [Fabaceae]
330,417,Mountain Yam,Dioscorea pentaphylla L. [Dioscoreaceae],Dioscorea pentaphylla,L. [Dioscoreaceae]
331,420,White Mustard,Sinapis alba L. [Brassicaceae],Sinapis alba,L. [Brassicaceae]
332,422,New Zealand Spinach,Tetragonia tetragonioides (PALLAS) KUNTZE [Aizoaceae],Tetragonia tetragonioides,(PALLAS) KUNTZE [Aizoaceae]
333,427,Okra,Abelmoschus esculentus (L.) MOENCH [Malvaceae],Abelmoschus esculentus,(L.) MOENCH [Malvaceae]
335,436,Cayenne,Capsicum frutescens L. [Solanaceae],Capsicum frutescens,L. [Solanaceae]
337,437,American Persimmon,Diospyros virginiana L. [Ebenaceae],Diospyros virginiana,L. [Ebenaceae]
339,441,Pinyon Pine,Pinus edulis ENGELM [Pinaceae],Pinus edulis,ENGELM [Pinaceae]
340,442,Pitanga,Eugenia uniflora L. [Myrtaceae],Eugenia uniflora,L. [Myrtaceae]
342,444,Banana,Musa x paradisiaca L. [Musaceae],Musa x,paradisiaca L. [Musaceae]
349,445,Pokeweed,Phytolacca americana L. [Phytolaccaceae],Phytolacca americana,L. [Phytolaccaceae]
350,447,Opium Poppy,Papaver somniferum L. [Papaveraceae],Papaver somniferum,L. [Papaveraceae]
351,448,Breadroot,Psoralea esculenta PURSH. [Fabaceae],Psoralea esculenta,PURSH. [Fabaceae]
352,455,Pomarrosa,Syzygium jambos ALSTON [Myrtaceae],Syzygium jambos,ALSTON [Myrtaceae]
353,457,Acedera de Guinea (Sp.),Hibiscus sabdariffa L. [Malvaceae],Hibiscus sabdariffa,L. [Malvaceae]
356,467,Salsify,Tragopogon porrifolius L. [Asteraceae],Tragopogon porrifolius,L. [Asteraceae]
357,468,Sapodilla,Manilkara zapota VAN ROYEN [Sapotaceae],Manilkara zapota,VAN ROYEN [Sapotaceae]
358,488,Soursop,Annona muricata L. [Annonaceae],Annona muricata,L. [Annonaceae]
360,490,Spirulina,Spirulina spp. [Oscillatoriaceae],Spirulina spp.,[Oscillatoriaceae]
361,493,Strawberry Guava,Psidium cattleianum SABINE [Myrtaceae],Psidium cattleianum,SABINE [Myrtaceae]
362,496,Sugar-Apple,Annona squamosa L. [Annonaceae],Annona squamosa,L. [Annonaceae]
364,499,Taro,Colocasia esculenta (L.) SCHOTT [Araceae],Colocasia esculenta,(L.) SCHOTT [Araceae]
366,502,Tomatillo,Physalis ixocarpa BROT. [Solanaceae],Physalis ixocarpa,BROT. [Solanaceae]
367,503,Luffa,Luffa aegyptiaca MILLER [Cucurbitaceae],Luffa aegyptiaca,MILLER [Cucurbitaceae]
370,510,Waxgourd,Benincasa hispida (THUNB.) COGN. [Cucurbitaceae],Benincasa hispida,(THUNB.) COGN. [Cucurbitaceae]
371,518,Asparagus Pea,Psophocarpus tetragonolobus (L.) DC. [Fabaceae],Psophocarpus tetragonolobus,(L.) DC. [Fabaceae]
374,519,Wild Yam,Dioscorea sp. [Dioscoreaceae],Dioscorea sp.,[Dioscoreaceae]
375,520,Yambean,Pachyrhizus erosus RICH. ex DC. [Fabaceae],Pachyrhizus erosus,RICH. ex DC. [Fabaceae]
377,521,Malanga,Xanthosoma sagittifolium (L.) SCHOTT [Araceae],Xanthosoma sagittifolium,(L.) SCHOTT [Araceae]
379,534,Black-eyed Pea,Vigna unguiculata subsp. unguiculata [Fabaceae],Vigna unguiculata,subsp. unguiculata [Fabaceae]
381,536,Macadamia,Macadamia spp [Proteaceae],Macadamia spp,[Proteaceae]
382,553,Asparagus Bean,Vigna unguiculata subsp. sesquipedalis (L.) VERDC. [Fabaceae],Vigna unguiculata,subsp. sesquipedalis (L.) VERDC. [Fabaceae]
384,558,Brazillian Guava,Feijoa sellowiana BERG. [Myrtaceae],Feijoa sellowiana,BERG. [Myrtaceae]
385,800,Butterseed,Vitellaria paradoxa C. F. GAERTN. [Sapotaceae],Vitellaria paradoxa,C. F. GAERTN. [Sapotaceae]
386,802,Ucahuba,Virola surinamensis WARB. [Myristicaceae],Virola surinamensis,WARB. [Myristicaceae]
387,813,Nance,Byrsonima crassifolia HBK. [Malpighiaceae],Byrsonima crassifolia,HBK. [Malpighiaceae]
388,880,Garlic,Allium sativum var. sativum L. [Liliaceae],Allium sativum,var. sativum L. [Liliaceae]
393,881,Cabbage,Brassica oleracea var. capitata l. var. capitata L. [Brassicaceae],Brassica oleracea,var. capitata l. var. capitata L. [Brassicaceae]
631776,29,Canola,Brassica napus var. napus L. [Brassicaceae],Brassica napus,var. napus L. [Brassicaceae]
632039,35,Sarson,Brassica rapa L. [Brassicaceae],Brassica rapa,L. [Brassicaceae]
632048,36,Rapini,Brassica rapa var. rapa [Brassicaceae],Brassica rapa,var. rapa [Brassicaceae]
638050,73,Persimmon,Diospyros kaki L. [Ebenaceae],Diospyros kaki,L. [Ebenaceae]
640331,89,Hyssop,Hyssopus officinalis L. [Lamiaceae],Hyssopus officinalis,L. [Lamiaceae]
640499,90,Chinese Star Anise,Illicium verum HOOK. f. [Illiciaceae],Illicium verum,HOOK. f. [Illiciaceae]
641959,102,Oregano,Lippia graveolens HBK [Verbenaceae],Lippia graveolens,HBK [Verbenaceae]
642412,107,Annual Camomile,Matricaria recutita L. [Asteraceae],Matricaria recutita,L. [Asteraceae]
642646,109,Mint,Mentha sp [Lamiaceae],Mentha sp,[Lamiaceae]
642653,110,Water Mint,Mentha aquatica L. [Lamiaceae],Mentha aquatica,L. [Lamiaceae]
642760,112,Biblical Mint,Mentha longifolia (L.) HUDS. [Lamiaceae],Mentha longifolia,(L.) HUDS. [Lamiaceae]
642790,112,Biblical Mint|Hortela da Folha Miuda,Mentha longifolia (L.) HUDS. [Lamiaceae]|Mentha spicata L. [Lamiaceae],Mentha longifolia,(L.) HUDS. [Lamiaceae]|Mentha spicata L. [Lamiaceae]
644356,123,Oregano,Origanum onites L. [Lamiaceae],Origanum onites,L. [Lamiaceae]
647009,145,Cereza,Prunus avium [Rosaceae],Prunus avium,[Rosaceae]
649444,161,Cloudberry,Rubus chamaemorus L. [Rosaceae],Rubus chamaemorus,L. [Rosaceae]
650333,168,Savory,Satureja montana L. [Lamiaceae],Satureja montana,L. [Lamiaceae]
653691,196,Vervain,Verbena officinalis L. [Verbenaceae],Verbena officinalis,L. [Verbenaceae]
657393,391,Aceituna Dulce,Eugenia jambolana LAM. [Myrtaceae]|Syzygium cumini SKEELS [Myrtaceae],Eugenia jambolana,LAM. [Myrtaceae]|Syzygium cumini SKEELS [Myrtaceae]
658898,456,Rose Hips,Rosa spp [Rosaceae],Rosa spp,[Rosaceae]
659060,466,Salmonberry,Rubus spectabilis PURSH [Rosaceae],Rubus spectabilis,PURSH [Rosaceae]
659454,509,Japanese Horseradish,Wasabia japonica (MIQ.) MATSUM. [Brassicaceae],Wasabia japonica,(MIQ.) MATSUM. [Brassicaceae]
659940,562,Shiitake,Lentinus edodes [],Lentinus edodes,[]
665019,111,Cornmint,Mentha arvensis var. piperascens MALINV. EX L. H. BAILEY [Lamiaceae],Mentha arvensis,var. piperascens MALINV. EX L. H. BAILEY [Lamiaceae]
